Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
PF,26,79,0,25.6,2.6,6.2,0.414,1.3,3.7,0.36200000000000004,1.2,2.5,0.49,0.521,0.4,0.4,0.853,1.0,3.4,4.3,1.2,0.7,0.4,0.8,1.6,6.9
PF,27,66,7,30.4,6.0,14.1,0.42700000000000005,2.0,5.4,0.366,4.0,8.7,0.466,0.498,3.0,3.5,0.873,2.0,4.0,6.0,1.1,0.6,0.4,1.4,1.7,17.0
SG,28,79,79,26.1,2.7,7.1,0.376,1.5,4.4,0.332,1.2,2.7,0.44799999999999995,0.48,0.4,0.6,0.7390000000000001,0.6,3.2,3.8,1.8,1.0,0.8,0.9,1.8,7.2
SF,21,3,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0
PG,28,74,15,30.0,5.1,10.5,0.486,1.2,2.9,0.401,3.9,7.6,0.519,0.542,2.6,3.1,0.858,0.4,1.9,2.3,4.3,1.0,0.1,1.8,1.9,14.0
C,30,71,71,32.1,5.2,8.5,0.62,0.0,0.1,0.0,5.2,8.4,0.626,0.62,3.3,6.7,0.489,3.4,8.4,11.8,1.4,1.0,1.6,2.3,3.1,13.7
SF,27,66,2,14.1,1.6,3.6,0.435,0.4,1.3,0.27899999999999997,1.2,2.3,0.523,0.485,0.6,0.8,0.696,0.7,1.6,2.3,1.0,0.5,0.2,0.7,0.9,4.1
PF,23,41,1,6.4,1.1,2.0,0.536,0.0,0.0,0.5,1.1,2.0,0.537,0.542,0.6,1.2,0.531,0.7,0.7,1.4,0.4,0.2,0.2,0.4,1.0,2.9
PF,26,5,0,7.0,0.8,2.0,0.4,0.8,1.8,0.444,0.0,0.2,0.0,0.6,0.2,0.4,0.5,0.0,0.2,0.2,0.0,0.2,0.0,0.4,0.6,2.6
PF,30,81,81,32.7,6.2,13.2,0.47,0.9,2.9,0.319,5.3,10.3,0.512,0.505,3.8,5.0,0.757,2.4,6.6,9.0,3.3,1.8,1.7,2.4,2.9,17.1
PG,34,72,72,28.1,2.9,6.3,0.45899999999999996,1.2,2.8,0.414,1.7,3.5,0.496,0.552,0.6,0.7,0.875,0.3,2.9,3.2,4.2,0.9,0.1,1.2,1.9,7.6
PG,29,12,10,24.3,3.5,8.3,0.42,1.3,3.8,0.35600000000000004,2.2,4.6,0.473,0.5,0.8,0.8,1.0,0.3,1.8,2.1,3.1,1.3,0.2,1.5,1.8,9.2
C,22,81,81,32.9,6.8,13.1,0.521,0.0,0.1,0.33299999999999996,6.8,13.0,0.522,0.522,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3.0,16.2
PF,25,39,2,10.9,1.9,3.4,0.5710000000000001,0.0,0.0,0.0,1.9,3.4,0.5710000000000001,0.5710000000000001,0.8,1.4,0.545,1.3,1.9,3.1,0.3,0.2,0.8,0.4,1.2,4.7
SF,29,80,41,28.2,4.4,10.3,0.43,0.8,2.7,0.315,3.6,7.6,0.47,0.47,2.1,2.8,0.745,0.9,3.2,4.2,1.7,0.7,0.5,1.2,2.1,11.7
PG,23,7,4,24.1,2.0,5.6,0.359,0.0,0.7,0.0,2.0,4.9,0.41200000000000003,0.359,0.4,0.6,0.75,1.1,2.4,3.6,3.0,1.3,0.4,1.3,1.7,4.4
PF,23,10,0,6.8,1.0,2.4,0.41700000000000004,0.0,0.0,0.0,1.0,2.4,0.41700000000000004,0.41700000000000004,0.9,1.4,0.643,1.4,2.4,3.8,0.5,0.4,0.5,0.6,1.5,2.9
SG,30,71,57,33.4,5.0,11.3,0.44299999999999995,1.3,3.4,0.382,3.7,7.9,0.469,0.5,1.5,1.8,0.84,0.3,3.4,3.7,2.0,0.4,0.1,1.2,2.0,12.8
SG,24,5,0,3.0,0.2,0.8,0.25,0.2,0.8,0.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.0,0.0,0.2,0.2,0.6
SF,23,29,11,20.7,1.3,4.3,0.31,0.7,2.4,0.28600000000000003,0.7,1.9,0.33899999999999997,0.389,0.6,0.7,0.85,0.3,2.1,2.4,0.7,0.5,0.2,0.5,1.2,4.0
PF,25,18,0,10.7,1.0,1.8,0.563,0.0,0.0,0.0,1.0,1.8,0.563,0.563,0.4,0.9,0.41200000000000003,0.7,1.7,2.3,0.3,0.2,0.1,0.4,1.6,2.4
PG,29,23,0,20.0,2.0,6.0,0.326,0.8,3.2,0.247,1.2,2.8,0.415,0.391,1.0,1.1,0.846,0.2,1.8,2.0,4.0,0.4,0.0,1.7,1.8,5.7
PG,27,77,53,29.1,5.2,12.6,0.41100000000000003,0.7,2.2,0.32899999999999996,4.4,10.4,0.428,0.44,1.6,2.3,0.693,0.6,3.4,4.0,6.5,1.1,0.3,2.3,1.7,12.6
SF,24,59,3,14.7,1.6,3.5,0.447,0.4,1.3,0.324,1.2,2.3,0.515,0.505,0.6,0.7,0.857,0.7,2.2,2.8,1.0,0.6,0.2,0.6,1.2,4.2
SF,35,77,44,19.0,1.3,3.0,0.445,0.1,0.3,0.174,1.3,2.7,0.47600000000000003,0.45399999999999996,0.2,0.2,0.684,0.4,1.5,1.9,0.9,0.5,0.2,0.4,0.8,2.9
SF,38,68,38,18.1,2.1,5.8,0.363,1.1,3.6,0.31,1.0,2.3,0.445,0.457,0.8,1.0,0.818,0.2,2.6,2.7,1.0,0.5,0.3,0.9,1.9,6.1
C,26,25,1,12.8,1.2,3.0,0.413,0.0,0.0,0.0,1.2,3.0,0.413,0.413,1.0,1.5,0.6579999999999999,1.3,1.6,2.9,0.6,0.2,0.4,0.5,1.7,3.5
PF,31,62,4,10.7,2.0,5.3,0.382,0.8,2.8,0.273,1.3,2.5,0.503,0.45399999999999996,0.4,0.4,0.917,0.4,2.1,2.5,0.4,0.3,0.2,0.5,1.1,5.1
PF,26,35,35,33.4,8.6,17.2,0.499,0.2,0.5,0.33299999999999996,8.4,16.7,0.504,0.504,4.0,5.5,0.727,1.5,6.9,8.4,4.9,0.8,0.5,2.4,2.7,21.4
PG,39,39,4,11.8,1.5,2.7,0.557,0.1,0.2,0.25,1.5,2.5,0.5820000000000001,0.5660000000000001,0.6,0.8,0.75,0.3,1.0,1.3,2.2,0.4,0.0,0.9,1.2,3.7
PG,27,81,3,20.5,3.2,7.6,0.425,1.5,4.0,0.384,1.7,3.6,0.469,0.525,0.6,0.7,0.81,0.3,1.6,2.0,2.8,0.7,0.1,0.9,1.3,8.5
PG,25,52,27,20.3,3.5,8.0,0.439,0.8,2.4,0.312,2.8,5.6,0.493,0.486,0.9,1.2,0.738,0.3,2.2,2.5,3.6,0.7,0.1,1.8,1.4,8.6
PG,25,81,81,35.6,7.0,16.4,0.42700000000000005,2.2,6.0,0.371,4.8,10.4,0.45899999999999996,0.495,4.6,5.4,0.847,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,20.9
SG,23,14,11,19.9,2.0,4.9,0.406,0.9,2.3,0.375,1.1,2.6,0.43200000000000005,0.493,0.8,1.5,0.524,0.6,2.9,3.4,1.1,0.7,0.1,0.8,1.2,5.6
C,20,80,55,21.7,3.8,7.5,0.512,0.4,1.1,0.33299999999999996,3.5,6.5,0.541,0.535,1.9,2.4,0.8109999999999999,2.3,4.7,7.0,2.4,1.0,0.6,1.3,2.6,10.0
C,23,73,60,24.3,3.2,6.0,0.529,0.0,0.1,0.1,3.2,5.8,0.539,0.53,2.4,3.2,0.754,1.9,4.3,6.2,1.0,0.8,0.9,0.9,2.8,8.7
C,22,7,0,2.6,0.4,0.7,0.6,0.0,0.0,0.0,0.4,0.7,0.6,0.6,0.1,0.3,0.5,0.1,0.4,0.6,0.1,0.1,0.0,0.0,0.1,1.0
SF,20,81,81,35.1,7.3,16.0,0.45899999999999996,0.7,2.3,0.3,6.6,13.6,0.486,0.48100000000000004,5.3,7.0,0.7609999999999999,1.3,2.3,3.6,2.0,1.0,0.6,2.2,2.0,20.7
SF,25,73,73,31.6,4.9,11.1,0.44299999999999995,1.7,5.0,0.336,3.3,6.2,0.529,0.518,2.7,3.3,0.82,1.0,4.2,5.1,1.8,1.7,0.5,1.1,2.7,14.2
PG,21,80,79,35.3,6.4,12.7,0.506,0.4,1.4,0.257,6.1,11.3,0.537,0.52,3.7,5.1,0.7240000000000001,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9
SG,31,61,25,14.9,1.7,4.5,0.38299999999999995,0.9,2.3,0.364,0.9,2.2,0.40299999999999997,0.47700000000000004,0.5,0.6,0.821,0.4,2.0,2.4,1.4,0.6,0.1,0.7,1.4,4.9
SF,29,70,70,34.0,6.7,14.4,0.46299999999999997,1.1,3.1,0.344,5.6,11.3,0.495,0.5,2.8,3.6,0.78,1.5,5.0,6.5,1.7,1.4,0.7,2.0,2.6,17.2
SF,27,69,21,27.2,4.3,9.0,0.48100000000000004,1.6,4.0,0.409,2.7,5.0,0.537,0.5710000000000001,1.5,2.3,0.648,0.8,5.1,5.9,1.4,0.8,0.2,1.4,2.2,11.8
C,29,81,1,15.2,2.4,4.7,0.505,0.0,0.0,0.0,2.4,4.7,0.508,0.505,1.6,2.0,0.764,1.7,3.0,4.7,0.6,0.3,0.6,0.8,1.9,6.3
